machine_id,product_id,base_status
east-entrance,water,sold_out
east-entrance,tea,low
east-entrance,cola,available
east-entrance,sports,sold_out
east-entrance,coffee,available
conference-tower,water,available
conference-tower,tea,available
conference-tower,cola,low
conference-tower,sports,available
conference-tower,coffee,available
station-gate,water,available
station-gate,tea,unknown
station-gate,cola,available
station-gate,sports,available
station-gate,coffee,sold_out
south-hall,water,low
south-hall,tea,available
south-hall,cola,available
south-hall,sports,low
south-hall,coffee,available
